time_abs(%Y-%m-%dT%H:%M:%S.%f) (duplicates in both files),time_abs(%Y-%m-%dT%H:%M:%S.%f) (unique in both files),time_abs(%Y-%m-%dT%H:%M:%S.%f) (duplicates only in LOF),time_abs(%Y-%m-%dT%H:%M:%S.%f) (duplicates only in Spectrogram),time_abs(%Y-%m-%dT%H:%M:%S.%f) (unique only in LOF),time_abs(%Y-%m-%dT%H:%M:%S.%f) (unique only in Spectrogram)
1971-05-23T21:59:53.860491 ~ 1971-05-23T22:27:42.690679,,1970-04-25T01:37:29.705434,,1972-07-17T07:00:00.184000,
1971-06-12T10:37:27.321453 ~ 1971-06-12T11:00:12.906358,,1970-04-25T01:44:59.667698,,1970-12-11T20:37:24.099585,
1971-09-25T08:30:00.576000 ~ 1971-09-25T09:06:23.066566,,1970-04-25T02:07:29.554491,,1974-06-25T11:59:56.901358,
1971-10-18T03:00:00.417000 ~ 1971-10-18T03:31:38.983038,,1970-04-25T03:44:59.063925,,1973-03-13T08:30:00.472000,
1971-10-20T17:59:54.991038 ~ 1971-10-20T18:17:30.387264,,1970-04-26T14:22:26.320377,,1970-12-27T21:07:24.139642,
1971-10-31T05:00:00.420000 ~ 1971-10-31T05:41:49.401132,,1970-04-26T14:37:26.244906,,1971-10-31T06:00:00.420000,
1972-01-04T06:29:58.154736 ~ 1972-01-04T06:45:29.777377,,1970-04-26T14:44:56.207170,,1974-02-07T06:29:58.391736,
1972-03-12T17:52:25.020774 ~ 1972-03-12T18:09:03.209453,,1970-04-26T15:37:25.943019,,1970-11-12T13:30:00.700000,
1972-05-11T13:00:00.576000 ~ 1972-05-11T13:45:53.481660,,1970-06-15T18:52:24.811887,,1974-04-08T04:30:00.534000,
1972-06-16T16:07:25.248075 ~ 1972-06-16T16:22:32.568830,,1970-06-15T19:29:54.623208,,1970-12-11T01:14:59.948642,
1972-07-17T21:52:23.580226 ~ 1972-07-17T22:13:37.089660,,1970-06-15T19:44:54.547736,,1971-10-20T11:52:26.840094,
1972-07-28T02:00:00.136000 ~ 1972-07-28T02:33:36.136000,,1970-06-26T13:07:26.153736,,1973-03-13T08:22:27.943698,
1972-07-31T17:30:00.622000 ~ 1972-07-31T18:20:19.640868,,1970-06-26T13:14:56.116000,,1973-06-18T11:52:26.547094,
1972-12-02T08:22:27.910698 ~ 1972-12-02T08:08:20.363528,,1970-06-26T13:22:26.078264,,1970-10-24T19:30:00.504000,
1973-03-13T08:14:57.981434 ~ 1973-03-13T08:07:12.773887,,1970-06-26T13:29:56.040528,,1971-06-12T11:22:27.095038,
1973-03-24T19:00:00.606000 ~ 1973-03-24T19:32:27.473925,,1970-06-26T14:07:25.851849,,1972-07-28T15:00:00.136000,
1973-06-05T10:30:00.300000 ~ 1973-06-05T11:17:07.016981,,1970-06-26T14:14:55.814113,,1971-04-17T07:00:00.387000,
1973-06-18T01:00:00.132000 ~ 1973-06-18T01:50:12.660302,,1970-06-26T14:29:55.738642,,1974-02-12T08:00:00.400000,
1973-06-27T19:07:24.456415 ~ 1973-06-27T18:49:03.626226,,1970-06-26T14:37:25.700906,,1971-04-13T19:12:44.008930,
1973-07-03T18:00:00.532000 ~ 1973-07-03T18:27:05.286717,,1970-06-26T15:59:55.285811,,1971-06-12T12:30:00.529000,
1973-07-04T03:07:29.600604 ~ 1973-07-04T03:02:54.732679,,1970-06-26T16:07:25.248075,,1974-07-06T03:14:59.211868,
1973-07-20T18:30:00.308000 ~ 1973-07-20T19:05:58.043849,,1970-06-26T16:22:25.172604,,1970-12-11T01:07:29.986377,
1973-07-28T00:59:59.973113 ~ 1973-07-28T00:56:40.727830,,1970-06-26T16:29:55.134868,,1973-06-18T10:14:57.037660,
1973-07-29T23:44:53.092189 ~ 1973-07-29T23:36:27.431811,,1970-06-26T16:37:25.097132,,1970-10-24T10:29:57.334189,
1973-08-21T11:30:00.652000 ~ 1973-08-21T12:29:49.029358,,1970-06-26T19:52:24.116000,,1970-04-25T01:30:00.196000,
1974-01-10T23:14:53.210132 ~ 1974-01-10T23:30:49.285604,,1970-06-26T20:14:54.002792,,1971-05-23T13:29:56.426528,
1974-02-07T05:30:00.354000 ~ 1974-02-07T06:29:43.297396,,1970-06-26T20:22:23.965057,,1973-03-24T07:30:00.606000,
1974-02-12T22:00:00.400000 ~ 1974-02-12T22:32:46.890566,,1970-06-26T20:29:53.927321,,1973-03-24T00:00:00.606000,
1974-04-19T18:22:25.020830 ~ 1974-04-19T18:40:02.983094,,1970-06-26T20:37:23.889585,,1975-04-12T19:29:54.300208,
1974-04-26T09:37:27.443340 ~ 1974-04-26T09:23:50.990509,,1970-06-26T20:44:53.851849,,1971-10-31T05:30:00.420000,
1974-04-27T14:44:56.193170 ~ 1974-04-27T14:28:43.212038,,1970-06-26T20:52:23.814113,,1973-06-18T08:22:27.603698,
1974-07-06T02:59:59.287340 ~ 1974-07-06T03:07:24.872245,,1970-06-26T21:07:23.738642,,1973-07-28T01:07:29.935377,
1974-07-11T00:30:00.359000 ~ 1974-07-11T01:01:11.302396,,1970-06-26T22:52:23.210340,,1971-10-20T18:30:00.425000,
1974-07-17T11:29:56.754302 ~ 1974-07-17T12:18:32.376943,,1970-07-20T04:52:29.015302,,1975-04-12T18:07:24.715302,
1974-10-14T17:29:55.712981 ~ 1974-10-14T17:51:01.826189,,1970-07-20T04:59:58.977566,,1972-12-02T21:37:23.910698,
1975-04-12T17:59:54.753038 ~ 1975-04-12T18:26:31.130396,,1970-07-20T05:07:28.939830,,1974-07-17T12:37:26.414679,
1975-05-04T09:52:27.475868 ~ 1975-05-04T10:18:30.796623,,1970-07-20T05:22:28.864358,,1975-05-04T10:07:27.400396,
1975-06-24T16:07:25.371075 ~ 1975-06-24T16:02:49.295604,,1970-07-20T05:37:28.788887,,1970-03-25T08:14:57.949434,
1975-06-26T02:59:59.636340 ~ 1975-06-26T03:40:40.089170,,1970-07-20T05:44:58.751151,,1975-05-04T11:07:27.098509,
,,1970-07-20T12:07:26.826623,,1972-07-31T18:37:24.999358,
,,1970-07-20T21:37:23.958698,,1970-03-25T21:00:00.440000,
,,1970-07-20T04:52:29.015302,,1974-04-27T16:22:25.702604,
,,1970-07-20T04:59:58.977566,,1971-01-29T10:37:26.986453,
,,1970-07-20T05:07:28.939830,,1974-02-07T06:52:28.278528,
,,1970-07-20T05:22:28.864358,,1970-03-26T06:29:58.602736,
,,1970-07-20T05:37:28.788887,,1973-03-13T08:29:57.905962,
,,1970-07-20T05:44:58.751151,,1974-06-25T12:29:56.750415,
,,1970-07-20T12:07:26.826623,,1970-12-27T20:29:54.328321,
,,1970-07-20T21:37:23.958698,,1971-04-13T19:20:13.971194,
,,1970-09-26T06:44:58.111264,,1972-01-04T14:14:55.815113,
,,1970-09-26T06:52:28.073528,,1974-02-12T20:44:54.135849,
,,1970-09-26T14:07:25.884849,,1972-05-11T13:30:00.576000,
,,1970-09-26T14:14:55.847113,,1973-06-18T09:44:57.188604,
,,1970-09-26T20:07:24.073528,,1973-06-27T05:37:28.531887,
,,1970-09-26T20:14:54.035792,,1974-07-11T09:14:57.566547,
,,1970-09-26T20:37:23.922585,,1970-12-11T21:29:53.835434,
,,1970-09-26T21:07:23.771642,,1970-12-11T23:07:23.344868,
,,1970-09-26T21:14:53.733906,,1971-04-13T04:05:18.574968,
,,1970-10-24T01:00:00.202113,,1974-02-07T07:22:28.127585,
,,1970-10-24T10:29:57.334189,,1974-04-19T19:22:24.718943,
,,1970-10-24T10:37:27.296453,,1974-04-27T16:14:55.740340,
,,1970-10-24T11:59:56.881358,,1970-09-26T05:59:58.337679,
,,1970-10-24T12:07:26.843623,,1974-04-19T12:22:26.832151,
,,1970-10-24T19:52:24.504000,,1973-05-14T23:29:53.302660,
,,1970-10-24T19:59:54.466264,,1973-06-27T05:44:58.494151,
,,1970-11-12T12:44:56.850943,,1971-10-31T05:44:58.684151,
,,1970-11-12T12:52:26.813208,,1970-06-15T19:44:54.547736,
,,1970-11-12T12:59:56.775472,,1973-06-18T08:00:00.132000,
,,1970-11-12T13:07:26.737736,,1971-06-12T12:37:26.717679,
,,1970-11-12T13:14:56.700000,,1974-07-11T05:52:28.585415,
,,1970-11-12T13:22:26.662264,,1971-01-28T01:29:59.781170,
,,1970-11-12T13:29:56.624528,,1973-06-18T13:07:26.169736,
,,1970-11-12T14:44:56.247170,,1974-07-06T12:30:00.193000,
,,1970-11-12T14:52:26.209434,,1971-01-28T00:00:00.234000,
,,1970-11-12T14:59:56.171698,,1971-01-15T13:07:26.295736,
,,1970-12-11T01:07:29.986377,,1971-03-25T15:44:55.396283,
,,1970-12-11T01:14:59.948642,,1973-03-24T17:30:00.606000,
,,1970-12-11T03:59:59.118453,,1971-05-23T11:29:57.030302,
,,1970-12-11T04:07:29.080717,,1971-06-12T10:59:57.208245,
,,1970-12-11T07:37:28.024113,,1974-04-08T01:30:00.081170,
,,1970-12-11T07:59:57.910906,,1971-09-25T17:22:25.330717,
,,1970-12-11T10:59:57.005245,,1974-07-11T07:37:28.057113,
,,1970-12-11T19:29:54.439208,,1970-07-20T12:07:26.826623,
,,1970-12-11T20:37:24.099585,,1971-04-13T14:20:15.480628,
,,1970-12-11T21:22:23.873170,,1970-10-24T10:30:00.504000,
,,1970-12-11T21:29:53.835434,,1972-07-17T07:44:57.844377,
,,1970-12-11T23:07:23.344868,,1971-06-12T07:52:28.151642,
,,1970-12-11T23:14:53.307132,,1973-08-21T12:52:26.765208,
,,1970-12-27T06:29:58.554736,,1972-07-28T15:44:55.381283,
,,1970-12-27T20:22:24.366057,,1972-07-28T16:14:55.230340,
,,1970-12-27T20:29:54.328321,,1970-06-26T13:14:56.116000,
,,1970-12-27T20:37:24.290585,,1972-01-04T14:22:25.777377,
,,1970-12-27T20:52:24.215113,,1974-07-11T04:00:00.359000,
,,1970-12-27T21:07:24.139642,,1974-07-06T03:30:00.193000,
,,1970-12-31T03:14:59.357868,,1970-01-19T20:22:24.514057,
,,1970-12-31T15:22:25.697491,,1974-07-17T12:14:56.527887,
,,1970-12-31T15:29:55.659755,,1971-06-12T07:44:58.189377,
,,1971-01-15T12:44:56.408943,,1974-02-12T22:29:53.607547,
,,1971-01-15T12:52:26.371208,,1970-06-26T14:14:55.814113,
,,1971-01-15T13:07:26.295736,,1972-07-17T23:37:23.051925,
,,1971-01-15T13:14:56.258000,,1973-06-18T01:37:29.641434,
,,1971-01-15T14:14:55.956113,,1972-01-04T14:59:55.588698,
,,1971-01-28T00:22:30.120792,,1971-04-17T08:07:27.934170,
,,1971-01-28T00:30:00.083057,,1972-03-12T18:29:54.832094,
,,1971-01-28T02:07:29.592491,,1974-07-17T11:59:56.603358,
,,1971-01-28T06:22:28.309472,,1970-06-15T19:30:00.510000,
,,1971-01-28T06:29:58.271736,,1970-06-26T16:07:25.248075,
,,1971-01-28T11:44:56.686830,,1972-01-04T14:00:00.117000,
,,1971-01-28T11:52:26.649094,,1974-07-11T03:44:59.226925,
,,1971-01-29T10:37:26.986453,,1970-09-26T06:44:58.111264,
,,1971-01-29T10:44:56.948717,,1970-11-12T13:00:00.700000,
,,1971-01-29T10:52:26.910981,,1971-01-28T06:22:28.309472,
,,1971-01-29T17:22:24.948717,,1971-10-18T03:29:59.360396,
,,1971-01-29T17:29:54.910981,,1974-04-08T11:22:27.100038,
,,1971-01-29T18:14:54.684566,,1971-05-23T22:22:23.747283,
,,1971-01-29T18:37:24.571358,,1971-04-13T13:12:48.990062,
,,1971-02-09T03:52:29.009189,,1971-03-25T15:52:25.358547,
,,1971-02-09T16:37:25.160132,,1971-05-12T18:59:54.976151,
,,1971-03-25T15:29:55.471755,,1974-04-19T13:30:00.568000,
,,1971-03-25T15:44:55.396283,,1970-03-25T03:37:29.345660,
,,1971-03-25T15:52:25.358547,,1974-04-27T21:59:54.004491,
,,1971-04-13T03:57:48.612704,,1970-07-20T05:00:00.487000,
,,1971-04-13T04:05:18.574968,,1970-04-26T14:44:56.207170,
,,1971-04-13T12:42:45.971194,,1970-11-12T14:00:00.700000,
,,1971-04-13T12:57:45.895722,,1971-04-13T19:42:48.990062,
,,1971-04-13T13:05:15.857987,,1971-10-18T07:00:00.417000,
,,1971-04-13T13:12:45.820251,,1974-02-12T22:22:23.645283,
,,1971-04-13T13:35:15.707043,,1974-02-12T20:30:00.400000,
,,1971-04-13T13:50:15.631571,,1974-07-06T03:07:29.249604,
,,1971-04-13T13:57:45.593836,,1971-09-25T08:59:57.859019,
,,1971-04-13T14:20:15.480628,,1971-05-23T11:37:26.992566,
,,1971-04-13T15:20:15.178741,,1970-04-25T03:44:59.063925,
,,1971-04-13T15:27:45.141005,,1971-05-23T23:29:53.407660,
,,1971-04-13T16:05:14.952326,,1971-04-17T07:37:28.085113,
,,1971-04-13T19:12:44.008930,,1973-08-21T13:22:26.614264,
,,1971-04-13T19:20:13.971194,,1970-03-25T12:30:00.440000,
,,1971-04-13T20:20:13.669307,,1974-07-17T12:22:26.490151,
,,1971-04-13T20:27:43.631571,,1970-11-12T14:44:56.247170,
,,1971-04-17T03:37:29.292660,,1971-04-13T19:12:48.990062,
,,1971-04-17T03:44:59.254925,,1975-04-12T19:14:54.375679,
,,1971-04-17T04:07:29.141717,,1971-06-12T05:29:58.868623,
,,1971-04-17T04:14:59.103981,,1971-05-23T11:44:56.954830,
,,1971-04-17T05:29:58.726623,,1971-10-20T21:14:54.009906,
,,1971-04-17T06:52:28.311528,,1970-06-26T14:37:25.700906,
,,1971-04-17T07:07:28.236057,,1972-07-28T11:37:26.626566,
,,1971-04-17T07:22:28.160585,,1971-04-13T18:42:48.990062,
,,1971-04-17T07:29:58.122849,,1971-09-25T09:00:00.576000,
,,1971-04-17T07:37:28.085113,,1974-06-25T21:44:53.957962,
,,1971-04-17T08:07:27.934170,,1971-05-12T10:14:57.617660,
,,1971-04-17T16:44:55.330396,,1971-04-13T12:42:48.990062,
,,1971-04-17T17:14:55.179453,,1972-06-16T19:59:54.078264,
,,1971-04-17T17:22:25.141717,,1975-05-04T10:59:57.136245,
,,1971-05-12T07:52:28.334642,,1973-07-28T08:37:27.671226,
,,1971-05-12T08:22:28.183698,,1973-06-05T11:07:26.941509,
,,1971-05-12T09:44:57.768604,,1973-06-18T01:44:59.603698,
,,1971-05-12T09:59:57.693132,,1970-01-19T21:00:00.665000,
,,1971-05-12T10:14:57.617660,,1970-04-25T01:37:29.705434,
,,1971-05-12T19:29:54.825208,,1974-07-11T05:30:00.359000,
,,1971-05-12T19:37:24.787472,,1971-04-13T15:27:45.141005,
,,1971-05-12T07:52:28.334642,,1971-01-15T12:44:56.408943,
,,1971-05-12T08:22:28.183698,,1972-01-04T15:44:55.362283,
,,1971-05-12T09:44:57.768604,,1972-07-17T22:30:00.184000,
,,1971-05-12T09:59:57.693132,,1971-04-13T13:12:45.820251,
,,1971-05-12T10:14:57.617660,,1972-07-31T18:14:55.112566,
,,1971-05-12T19:29:54.825208,,1974-06-25T21:29:54.033434,
,,1971-05-12T19:37:24.787472,,1971-04-17T17:14:55.179453,
,,1971-05-23T11:29:57.030302,,1973-07-20T18:52:24.609887,
,,1971-05-23T11:37:26.992566,,1971-01-28T05:59:58.422679,
,,1971-05-23T11:44:56.954830,,1974-07-06T12:44:56.343943,
,,1971-05-23T22:07:23.822755,,1972-07-28T02:30:00.136000,
,,1971-05-23T22:22:23.747283,,1972-07-28T02:29:59.381283,
,,1971-05-23T22:37:23.671811,,1973-07-03T18:29:54.947094,
,,1971-05-23T22:44:53.634075,,1972-07-31T00:30:00.471057,
,,1971-05-23T22:59:53.558604,,1974-04-08T12:29:56.760415,
,,1971-05-23T23:07:23.520868,,1971-01-28T11:44:56.686830,
,,1971-05-23T23:14:53.483132,,1971-10-20T01:15:00.047642,
,,1971-05-23T23:29:53.407660,,1973-03-24T00:30:00.606000,
,,1971-06-12T03:29:59.472396,,1970-06-26T14:07:25.851849,
,,1971-06-12T05:29:58.868623,,1970-09-26T21:07:23.771642,
,,1971-06-12T06:29:58.566736,,1971-04-13T20:12:48.990062,
,,1971-06-12T07:44:58.189377,,1971-05-23T22:07:23.822755,
,,1971-06-12T07:52:28.151642,,1970-11-12T14:30:00.700000,
,,1971-06-12T10:37:27.321453,,1975-06-26T03:22:29.523132,
,,1971-06-12T10:59:57.208245,,1970-09-26T20:59:53.809377,
,,1971-06-12T11:14:57.132774,,1970-12-11T03:59:59.118453,
,,1971-06-12T11:22:27.095038,,1972-03-12T13:59:56.190585,
,,1971-06-12T11:29:57.057302,,1972-07-28T02:44:59.305811,
,,1971-06-12T11:44:56.981830,,1971-01-15T12:52:26.371208,
,,1971-06-12T12:07:26.868623,,1971-10-20T21:22:23.972170,
,,1971-06-12T12:14:56.830887,,1974-07-11T03:30:00.359000,
,,1971-06-12T12:29:56.755415,,1971-04-17T16:44:55.330396,
,,1971-06-12T12:37:26.717679,,1973-03-24T00:37:30.417321,
,,1971-06-12T12:59:56.604472,,1971-10-18T04:00:00.417000,
,,1971-06-12T13:14:56.529000,,1971-05-23T22:59:53.558604,
,,1971-09-25T08:59:57.859019,,1972-05-11T13:37:26.462792,
,,1971-09-25T17:22:25.330717,,1971-01-29T09:59:57.175132,
,,1971-09-25T17:29:55.292981,,1971-06-12T11:44:56.981830,
,,1971-10-18T03:22:29.398132,,1970-06-26T20:22:23.965057,
,,1971-10-18T03:29:59.360396,,1974-07-11T01:00:00.057113,
,,1971-10-18T03:37:29.322660,,1970-06-26T14:29:55.738642,
,,1971-10-18T03:44:59.284925,,1971-10-20T11:30:00.425000,
,,1971-10-18T03:59:59.209453,,1970-06-26T20:37:23.889585,
,,1971-10-18T06:59:58.303792,,1970-11-12T12:59:56.775472,
,,1971-10-18T07:07:28.266057,,1975-06-24T01:30:00.239000,
,,1971-10-18T11:22:26.983038,,1970-03-25T12:37:26.628679,
,,1971-10-18T11:29:56.945302,,1971-10-20T11:00:00.425000,
,,1971-10-18T14:07:26.152849,,1970-07-20T21:37:23.958698,
,,1971-10-18T14:14:56.115113,,1971-05-12T09:59:57.693132,
,,1971-10-20T01:07:30.085377,,1974-07-06T14:30:00.193000,
,,1971-10-20T01:15:00.047642,,1970-03-25T20:30:00.440000,
,,1971-10-20T11:44:56.877830,,1973-06-05T11:14:56.903774,
,,1971-10-20T11:52:26.840094,,1974-07-17T13:14:56.226000,
,,1971-10-20T17:59:54.991038,,1973-03-24T01:15:00.228642,
,,1971-10-20T18:29:54.840094,,1970-11-12T13:07:26.737736,
,,1971-10-20T18:37:24.802358,,1975-06-26T03:29:59.485396,
,,1971-10-20T18:44:54.764623,,1972-07-31T18:07:25.150302,
,,1971-10-20T18:52:24.726887,,1971-10-18T06:59:58.303792,
,,1971-10-20T18:59:54.689151,,1973-06-27T05:30:00.230000,
,,1971-10-20T19:07:24.651415,,1970-03-25T12:29:56.666415,
,,1971-10-20T21:14:54.009906,,1971-06-12T13:14:56.529000,
,,1971-10-20T21:22:23.972170,,1971-04-17T07:30:00.387000,
,,1971-10-31T05:44:58.684151,,1974-07-17T11:14:56.829774,
,,1971-10-31T05:59:58.608679,,1970-06-26T13:07:26.153736,
,,1971-10-31T06:07:28.570943,,1973-03-24T01:22:30.190906,
,,1971-10-31T06:29:58.457736,,1972-07-17T22:29:53.391547,
,,1971-11-14T09:59:57.583132,,1974-07-17T12:29:56.452415,
,,1972-01-04T06:29:58.154736,,1974-01-10T22:30:00.229000,
,,1972-01-04T14:14:55.815113,,1971-04-17T06:52:28.311528,
,,1972-01-04T14:22:25.777377,,1974-07-17T12:59:56.301472,
,,1972-01-04T14:59:55.588698,,1974-04-27T23:37:23.513925,
,,1972-01-04T15:14:55.513226,,1970-11-12T12:44:56.850943,
,,1972-01-04T15:44:55.362283,,1975-06-24T02:00:00.239000,
,,1972-01-04T15:52:25.324547,,1970-03-26T21:29:54.074434,
,,1972-03-12T07:52:28.039642,,1972-07-31T18:59:54.886151,
,,1972-03-12T07:59:58.001906,,1974-07-11T01:00:00.359000,
,,1972-03-12T13:59:56.190585,,1971-01-28T00:30:00.083057,
,,1972-03-12T14:14:56.115113,,1971-06-12T12:29:56.755415,
,,1972-03-12T17:52:25.020774,,1971-10-20T18:44:54.764623,
,,1972-03-12T18:29:54.832094,,1972-05-11T14:22:26.236377,
,,1972-05-11T13:22:26.538264,,1970-03-26T21:30:00.565000,
,,1972-05-11T13:29:56.500528,,1975-05-04T11:44:56.909830,
,,1972-05-11T13:37:26.462792,,1970-12-31T15:22:25.697491,
,,1972-05-11T13:59:56.349585,,1970-10-24T19:59:54.466264,
,,1972-05-11T14:22:26.236377,,1971-01-29T10:29:57.024189,
,,1972-06-16T16:07:25.248075,,1970-03-25T21:07:24.062642,
,,1972-06-16T19:52:24.116000,,1971-06-12T11:30:00.529000,
,,1972-06-16T19:59:54.078264,,1970-06-26T13:29:56.040528,
,,1972-06-16T21:37:23.587698,,1975-06-24T01:59:59.635226,
,,1972-07-17T07:44:57.844377,,1971-04-17T04:14:59.103981,
,,1972-07-17T08:14:57.693434,,1973-08-21T12:14:56.953887,
,,1972-07-17T21:52:23.580226,,1971-10-20T18:37:24.802358,
,,1972-07-17T21:59:53.542491,,1974-02-07T06:14:58.467208,
,,1972-07-17T22:07:23.504755,,1975-06-26T12:59:56.617472,
,,1972-07-17T22:14:53.467019,,1970-12-11T07:59:57.910906,
,,1972-07-17T22:22:23.429283,,1970-11-12T12:52:26.813208,
,,1972-07-17T22:29:53.391547,,1971-10-18T13:30:00.417000,
,,1972-07-17T22:37:23.353811,,1972-07-31T18:44:54.961623,
,,1972-07-17T22:44:53.316075,,1971-04-17T05:29:58.726623,
,,1972-07-17T22:52:23.278340,,1972-03-12T14:14:56.115113,
,,1972-07-17T22:59:53.240604,,1974-06-25T12:14:56.825887,
,,1972-07-17T23:37:23.051925,,1970-03-26T09:37:27.659340,
,,1972-07-17T23:44:53.014189,,1972-12-03T14:52:26.061434,
,,1972-07-17T07:44:57.844377,,1970-03-26T06:30:00.565000,
,,1972-07-17T08:14:57.693434,,1970-07-20T05:37:28.788887,
,,1972-07-17T21:52:23.580226,,1971-01-29T17:22:24.948717,
,,1972-07-17T21:59:53.542491,,1972-07-31T18:30:00.622000,
,,1972-07-17T22:07:23.504755,,1972-03-12T18:30:00.417000,
,,1972-07-17T22:14:53.467019,,1971-04-17T03:37:29.292660,
,,1972-07-17T22:22:23.429283,,1973-08-21T12:44:56.802943,
,,1972-07-17T22:29:53.391547,,1972-07-28T06:00:00.136000,
,,1972-07-17T22:37:23.353811,,1971-09-25T17:30:00.576000,
,,1972-07-17T22:44:53.316075,,1970-11-12T14:59:56.171698,
,,1972-07-17T22:52:23.278340,,1971-04-17T07:29:58.122849,
,,1972-07-17T22:59:53.240604,,1975-05-04T11:37:26.947566,
,,1972-07-17T23:37:23.051925,,1970-12-31T15:29:55.659755,
,,1972-07-17T23:44:53.014189,,1974-04-19T18:44:54.907623,
,,1972-07-28T02:29:59.381283,,1971-10-20T18:29:54.840094,
,,1972-07-28T02:37:29.343547,,1971-04-13T13:57:45.593836,
,,1972-07-28T02:44:59.305811,,1970-03-26T11:30:00.565000,
,,1972-07-28T05:52:28.362415,,1971-05-12T08:22:28.183698,
,,1972-07-28T05:59:58.324679,,1971-05-12T19:37:24.787472,
,,1972-07-28T11:37:26.626566,,1970-03-26T09:30:00.565000,
,,1972-07-28T15:44:55.381283,,1974-04-27T11:59:57.023358,
,,1972-07-28T15:59:55.305811,,1971-01-28T11:29:56.762302,
,,1972-07-28T16:14:55.230340,,1971-10-18T06:30:00.417000,
,,1972-07-31T00:22:30.508792,,1971-02-09T16:37:25.160132,
,,1972-07-31T00:30:00.471057,,1970-03-26T06:37:28.565000,
,,1972-07-31T18:07:25.150302,,1970-12-27T20:22:24.366057,
,,1972-07-31T18:14:55.112566,,1971-04-17T04:07:29.141717,
,,1972-07-31T18:29:55.037094,,1973-06-18T13:00:00.132000,
